School_ID,Long_Name,Primary_Category,School_Latitude,School_Longitude,Graduation_4_Year_School_Pct_Year_2,College_Enrollment_School_Pct_Year_2,SAT_Grade_11_Score_School_Avg,Transition_Gap
610244,Michele Clark Academic Prep Magnet High School,HS,41.872885,-87.753325,89.0,54.0,781,35.0
400157,Noble - Baker College Prep,HS,41.734622,-87.556201,78.5,61.0,837,17.5
400156,Noble - Butler College Prep,HS,41.706667,-87.602573,94.0,50.3,817,43.7
400149,Acero Charter Schools - Victoria Soto,HS,41.801762,-87.711025,88.3,54.9,872,33.4
400119,Legal Prep Charter Academy,HS,41.881733,-87.733778,75.7,31.4,778,44.300000000000004
400117,Noble - Hansberry College Prep,HS,41.734442,-87.650987,84.7,70.8,810,13.900000000000006
400118,Noble - DRW College Prep,HS,41.869328,-87.711654,64.0,57.1,830,6.899999999999999
400105,Urban Prep Academy for Young Men - Bronzeville,HS,41.831118,-87.613629,80.5,57.5,818,23.0
400106,Noble - John and Eunice Johnson College Prep,HS,41.778369,-87.635117,79.2,77.7,809,1.5
400104,Instituto Health Sciences Career Academy,HS,41.845967,-87.68724,84.2,29.0,813,55.2
400097,Noble - Chicago Bulls College Prep,HS,41.878809,-87.678195,93.6,78.0,873,15.599999999999994
400098,Noble - Muchin College Prep,HS,41.88274,-87.626338,93.1,68.1,896,25.0
400094,EPIC Academy Charter High School,HS,41.744849,-87.550222,65.0,41.7,808,23.299999999999997
400091,Chicago Technology Academy High School,HS,41.863301,-87.659095,89.1,50.0,772,39.099999999999994
400086,Urban Prep Academy for Young Men - Englewood,HS,41.781498,-87.634357,78.2,62.5,792,15.700000000000003
400085,Acero Charter Schools - Major Hector P. Garcia MD,HS,41.809171,-87.730467,95.5,59.1,845,36.4
400077,University of Chicago - Woodlawn,HS,41.77813,-87.598114,86.7,78.3,827,8.400000000000006
400066,Perspectives - Math and Science Academy,HS,41.827784,-87.624788,69.9,46.6,761,23.300000000000004
400064,Perspectives - Rodney D. Joslin,HS,41.855999,-87.628531,86.5,44.8,775,41.7
400061,Perspectives - Leadership Academy,HS,41.745961,-87.652045,79.6,42.5,798,37.099999999999994
400062,Perspectives - High School of Technology,HS,41.745949,-87.650657,68.4,44.1,777,24.300000000000004
400058,North Lawndale College Prep - Christiana,HS,41.858564,-87.708987,74.2,59.0,785,15.200000000000003
400057,Noble - UIC College Prep,HS,41.865817,-87.676111,88.0,72.6,881,15.400000000000006
400056,Noble - Rowe-Clark Math and Science Academy,HS,41.895362,-87.718047,88.9,45.8,788,43.10000000000001
400054,Noble - Pritzker College Prep,HS,41.915214,-87.730127,95.3,83.6,922,11.700000000000003
400055,Noble - Rauner College Prep,HS,41.892425,-87.660859,82.9,79.7,890,3.200000000000003
400052,Noble - Gary Comer College Prep,HS,41.764083,-87.601974,81.4,62.8,803,18.60000000000001
400053,Noble - Golder College Prep,HS,41.895282,-87.664483,79.1,64.4,864,14.699999999999989
400051,Noble - Noble College Prep,HS,41.900191,-87.662628,92.7,87.1,916,5.6000000000000085
400059,North Lawndale College Prep - Collins,HS,41.864146,-87.700681,80.7,51.0,778,29.700000000000003
400034,CICS - Northtown,HS,41.990245,-87.726504,91.3,71.7,904,19.599999999999994
400035,Chicago Math and Science Academy Charter School,HS,42.013031,-87.674818,78.0,69.5,981,8.5
400032,CICS - Ralph Ellison,HS,41.748382,-87.66898,79.3,47.6,755,31.699999999999996
400033,CICS - Longwood,HS,41.721221,-87.655768,60.8,37.1,803,23.699999999999996
400022,Chicago High School for the Arts (ChiArts),HS,41.899377,-87.694945,88.2,80.5,950,7.700000000000003
400013,ASPIRA Charter School - Early College High School,HS,41.937298,-87.727096,73.1,41.6,855,31.499999999999993
610304,Phoenix Military Academy High School,HS,41.879118,-87.68696,93.7,71.4,908,22.299999999999997
610323,Bowen High School,HS,41.734627,-87.55755,67.3,46.3,752,21.0
610334,Al Raby High School,HS,41.88621,-87.715423,90.2,73.7,766,16.5
610340,Chicago Academy High School,HS,41.943054,-87.776847,95.8,73.2,903,22.599999999999994
