GEOID,NAME,poverty_rate,log_median_income,unemployment_rate,single_parent_rate,rent_burden_rate
17031010100,Census Tract 101; Cook County; Illinois,0.13302416402245545,11.21377791440917,0.06226479644201163,0.22661870503597123,0.4893483709273183
17031010201,Census Tract 102.01; Cook County; Illinois,0.2470076169749728,11.051778499434786,0.10953902327704244,0.26250812215724495,0.42940889106008795
17031010202,Census Tract 102.02; Cook County; Illinois,0.26025524156791247,10.88218954453168,0.10530085959885387,0.12301587301587301,0.595050618672666
17031010300,Census Tract 103; Cook County; Illinois,0.13433647570703408,11.199652042851538,0.05998481397114654,0.0,0.4416360294117647
17031010400,Census Tract 104; Cook County; Illinois,0.10971685971685971,10.898275182551036,0.030525030525030524,0.0,0.5140931372549019
17031010501,Census Tract 105.01; Cook County; Illinois,0.16030123722431414,10.796161592809286,0.04804913294797688,0.0,0.5326876513317191
17031010502,Census Tract 105.02; Cook County; Illinois,0.18287560581583198,11.05287216657766,0.0721415607985481,0.02158273381294964,0.5417348608837971
17031010503,Census Tract 105.03; Cook County; Illinois,0.4174827711280377,10.387239982375185,0.01383399209486166,0.03611111111111111,0.4957724827056111
17031010600,Census Tract 106; Cook County; Illinois,0.16330420969023035,11.191341840842766,0.05648064806480648,0.04066390041493776,0.5
17031010701,Census Tract 107.01; Cook County; Illinois,0.10322024151811386,11.2227469456531,0.037019681349578254,0.14099526066350712,0.5125748502994012
17031010702,Census Tract 107.02; Cook County; Illinois,0.1441251056635672,11.030428113191096,0.09565857247976453,0.25718015665796345,0.3779576587795766
17031020100,Census Tract 201; Cook County; Illinois,0.18225534984371244,11.0806645340749,0.07012565869477097,0.18223443223443223,0.47230614300100704
17031020200,Census Tract 202; Cook County; Illinois,0.04996695307336418,11.700441838641288,0.0841178256908594,0.10131108462455304,0.3072463768115942
17031020301,Census Tract 203.01; Cook County; Illinois,0.14553140096618358,11.269387861502631,0.09893172317696237,0.06788511749347259,0.5600706713780919
17031020302,Census Tract 203.02; Cook County; Illinois,0.12875900042354935,11.173950098130897,0.110050022737608,0.12014787430683918,0.615727002967359
17031020400,Census Tract 204; Cook County; Illinois,0.1393423775580593,11.208978500052412,0.06558079725675096,0.09163701067615658,0.5099882491186839
17031020500,Census Tract 205; Cook County; Illinois,0.45321591445195786,10.54056690082639,0.07158555729984302,0.4312,0.5630573248407643
17031020601,Census Tract 206.01; Cook County; Illinois,0.32583373224828466,11.068620771070522,0.08376383763837639,0.21612690019828157,0.4172604908946952
17031020602,Census Tract 206.02; Cook County; Illinois,0.19632414369256473,11.40381347688645,0.03106060606060606,0.1523545706371191,0.5245901639344263
17031020701,Census Tract 207.01; Cook County; Illinois,0.0831447963800905,11.595131983761206,0.04439746300211417,0.0,0.35826771653543305
17031020702,Census Tract 207.02; Cook County; Illinois,0.15638121898460364,11.06516853267122,0.06987951807228916,0.1521511017838405,0.4151084517576664
17031020801,Census Tract 208.01; Cook County; Illinois,0.08195798949737435,11.224322969058706,0.04984126984126984,0.15279878971255673,0.4793650793650794
17031020802,Census Tract 208.02; Cook County; Illinois,0.22992619100872289,11.137868313033447,0.10897435897435898,0.17978246960972488,0.4624
17031020901,Census Tract 209.01; Cook County; Illinois,0.18765984654731457,10.93828994344506,0.05900243309002433,0.3535483870967742,0.5914285714285714
17031020902,Census Tract 209.02; Cook County; Illinois,0.24006668519033064,10.726500038828679,0.05698401667824878,0.1713325867861142,0.4620418848167539
17031030101,Census Tract 301.01; Cook County; Illinois,0.1624466571834993,10.79812554671483,0.17271078875793291,0.17383177570093458,0.6483253588516746
17031030102,Census Tract 301.02; Cook County; Illinois,0.24806892453951276,10.999195628056848,0.05729396209784046,0.03684210526315789,0.5274636510500808
17031030103,Census Tract 301.03; Cook County; Illinois,0.25426039536468986,10.810636626493,0.11325301204819277,0.019230769230769232,0.542566709021601
17031030104,Census Tract 301.04; Cook County; Illinois,0.25394235997824904,10.641201706421198,0.15876027830487033,0.0,0.6013698630136987
17031030200,Census Tract 302; Cook County; Illinois,0.14949879018320084,11.594192038798576,0.04976550286607608,0.008592910848549946,0.361244019138756
17031030300,Census Tract 303; Cook County; Illinois,0.15663058186738837,11.140890297346669,0.04619565217391304,0.054376657824933686,0.3924843423799583
17031030400,Census Tract 304; Cook County; Illinois,0.14653902798232696,11.501955514481585,0.05002748763056625,0.15789473684210525,0.31546134663341646
17031030500,Census Tract 305; Cook County; Illinois,0.06030701754385965,11.752375342558748,0.037177862272919304,0.09523809523809523,0.23
17031030601,Census Tract 306.01; Cook County; Illinois,0.18631692806922662,10.876479927279586,0.07573756054601496,0.10172143974960876,0.6105336105336105
17031030603,Census Tract 306.03; Cook County; Illinois,0.26115618661257606,10.813236936366861,0.061917443408788284,0.24912280701754386,0.388653683319221
17031030604,Census Tract 306.04; Cook County; Illinois,0.21389514313284014,10.852980925238,0.03497843794920939,0.09832134292565947,0.5699760765550239
17031030701,Census Tract 307.01; Cook County; Illinois,0.2721849366144668,10.713261545027793,0.12551867219917012,0.2215909090909091,0.5547945205479452
17031030702,Census Tract 307.02; Cook County; Illinois,0.2074546346248161,11.01209967578257,0.17319277108433734,0.10256410256410256,0.5551782682512734
17031030703,Census Tract 307.03; Cook County; Illinois,0.19833178869323448,11.22126214452421,0.1182108626198083,0.06794425087108014,0.4562883435582822
17031030706,Census Tract 307.06; Cook County; Illinois,0.08906882591093117,10.862205390050178,0.09395973154362416,0.04735376044568245,0.6006264682850431
17031030800,Census Tract 308; Cook County; Illinois,0.09896768402154399,11.567271594710341,0.06084489281210593,0.07660455486542443,0.3671111111111111
17031030900,Census Tract 309; Cook County; Illinois,0.054324517512508934,11.37922262907872,0.025714285714285714,0.08363636363636363,0.3775620280474649
17031031000,Census Tract 310; Cook County; Illinois,0.06576354679802955,11.791670218299156,0.048464780252859725,0.08885754583921016,0.39293937068303914
17031031100,Census Tract 311; Cook County; Illinois,0.09754613668627053,11.437307122011322,0.024284683818225534,0.0805523590333717,0.3122977346278317
17031031200,Census Tract 312; Cook County; Illinois,0.3441971383147854,10.154751979566992,0.046785594076068665,0.14140127388535031,0.5757902298850575
