,Graduation_4_Year_School_Pct_Year_2,College_Enrollment_School_Pct_Year_2,Transition_Gap,disadvantage_score
count,115.0,115.0,115.0,115.0
mean,79.0913043478261,60.87826086956523,18.21304347826088,0.8159842543428734
std,16.2262812875934,18.02905443905581,12.015797509062594,1.9656402348109656
min,7.1,10.0,-12.0,-2.3533109310854052
25%,72.8,49.0,8.450000000000003,-0.6866949903426297
50%,82.4,63.0,17.400000000000006,0.6478927114460614
75%,90.1,73.45,25.25,1.9906428744068128
max,97.4,95.1,55.2,7.37198404247568
