ndi_quintile,Graduation_4_Year_School_Pct_Year_2,College_Enrollment_School_Pct_Year_2,Transition_Gap
1,86.9391304347826,70.23913043478261,16.7
2,79.6608695652174,62.7695652173913,16.891304347826086
3,79.1086956521739,61.30434782608695,17.804347826086957
4,73.6,55.48260869565217,18.117391304347827
5,76.14782608695653,54.595652173913045,21.55217391304348
