School_ID,Long_Name,Primary_Category,School_Latitude,School_Longitude,Graduation_4_Year_School_Pct_Year_2,College_Enrollment_School_Pct_Year_2,SAT_Grade_11_Score_School_Avg,Transition_Gap,geometry,GEOID,NAME,poverty_rate,log_median_income,unemployment_rate,single_parent_rate,rent_burden_rate,disadvantage_score
609698,William J Bogan High School,HS,41.749376,-87.721097,70.3,44.5,799,25.799999999999997,POINT (-87.721097 41.749376),17031700401,Census Tract 7004.01; Cook County; Illinois,0.1280037694361551,11.38309009078967,0.1097668928887577,0.1826086956521739,0.7014388489208633,0.3765921910902883
609704,David G Farragut Career Academy High School,HS,41.84856,-87.708706,70.4,82.4,814,-12.0,POINT (-87.708706 41.84856),17031300800,Census Tract 3008; Cook County; Illinois,0.3573326248671626,10.50092197226688,0.0246652572233967,0.1537544696066746,0.5668316831683168,1.4095224580939003
609705,Christian Fenger Academy High School,HS,41.689951,-87.637572,70.3,59.5,783,10.799999999999995,POINT (-87.637572 41.689951),17031491200,Census Tract 4912; Cook County; Illinois,0.1828133552271483,10.957921526091724,0.138268156424581,0.2267441860465116,0.4971098265895953,1.0482958307506018
609708,Edwin G. Foreman College and Career Academy,HS,41.939797,-87.754167,65.9,47.6,797,18.300000000000004,POINT (-87.754167 41.939797),17031151001,Census Tract 1510.01; Cook County; Illinois,0.1379976807112485,11.455667046129946,0.0593841642228739,0.163751987281399,0.5191740412979351,-0.3515918520123471
609709,Gage Park High School,HS,41.791013,-87.688954,75.9,50.7,793,25.200000000000003,POINT (-87.688954 41.791013),17031835100,Census Tract 8351; Cook County; Illinois,0.2302142544818539,10.98823753521109,0.1148936170212766,0.2558139534883721,0.6810810810810811,1.4638172757004015
609710,John M Harlan Community Academy High School,HS,41.718372,-87.620623,75.9,36.6,759,39.3,POINT (-87.620623 41.718372),17031490500,Census Tract 4905; Cook County; Illinois,0.0949403069926094,11.38414846656631,0.0615808823529411,0.0887096774193548,0.4210526315789473,-0.8509261627159427
609712,Emil G Hirsch Metropolitan High School,HS,41.753748,-87.601727,31.8,26.7,763,5.100000000000001,POINT (-87.601727 41.753748),17031691500,Census Tract 6915; Cook County; Illinois,0.4673065386922616,10.036531326293892,0.229901269393512,0.4972826086956521,0.5395894428152492,4.783991309214547
609713,Hyde Park Academy High School,HS,41.782257,-87.586615,85.4,42.1,785,43.3,POINT (-87.586615 41.782257),17031420100,,,,,,,
609715,Thomas Kelly College Preparatory,HS,41.818729,-87.694639,68.5,68.2,885,0.2999999999999971,POINT (-87.694639 41.818729),17031580501,Census Tract 5805.01; Cook County; Illinois,0.0905781584582441,11.220793506444815,0.0913838120104438,0.0683982683982684,0.420997920997921,-0.5664817209550447
609716,Kelvyn Park High School,HS,41.927918,-87.735999,71.3,63.2,810,8.099999999999994,POINT (-87.735999 41.927918),17031200200,Census Tract 2002; Cook County; Illinois,0.1314931536622473,11.146705108187964,0.0418091980235651,0.1593453919035314,0.4324022346368715,-0.336992442633333
