GEOID,NAME,poverty_rate,log_median_income,unemployment_rate,single_parent_rate,rent_burden_rate,disadvantage_score
17031010100,Census Tract 101; Cook County; Illinois,0.1330241640224554,11.21377791440917,0.0622647964420116,0.2266187050359712,0.4893483709273183,0.043732523086020415
17031010201,Census Tract 102.01; Cook County; Illinois,0.2470076169749728,11.051778499434786,0.1095390232770424,0.2625081221572449,0.4294088910600879,1.0426485698586714
17031010202,Census Tract 102.02; Cook County; Illinois,0.2602552415679124,10.88218954453168,0.1053008595988538,0.123015873015873,0.595050618672666,1.080280150592986
17031010300,Census Tract 103; Cook County; Illinois,0.134336475707034,11.199652042851538,0.0599848139711465,0.0,0.4416360294117647,-0.7443070614904707
17031010400,Census Tract 104; Cook County; Illinois,0.1097168597168597,10.898275182551036,0.0305250305250305,0.0,0.5140931372549019,-0.6204214761727491
17031010501,Census Tract 105.01; Cook County; Illinois,0.1603012372243141,10.796161592809286,0.0480491329479768,0.0,0.5326876513317191,-0.14488608168065065
17031010502,Census Tract 105.02; Cook County; Illinois,0.1828756058158319,11.05287216657766,0.0721415607985481,0.0215827338129496,0.5417348608837971,-0.06537717502433953
17031010503,Census Tract 105.03; Cook County; Illinois,0.4174827711280377,10.387239982375185,0.0138339920948616,0.0361111111111111,0.4957724827056111,1.2303823305546446
17031010600,Census Tract 106; Cook County; Illinois,0.1633042096902303,11.191341840842766,0.0564806480648064,0.0406639004149377,0.5,-0.40746561487596294
17031010701,Census Tract 107.01; Cook County; Illinois,0.1032202415181138,11.2227469456531,0.0370196813495782,0.1409952606635071,0.5125748502994012,-0.4973217631907769
17031010702,Census Tract 107.02; Cook County; Illinois,0.1441251056635672,11.030428113191096,0.0956585724797645,0.2571801566579634,0.3779576587795766,0.4176456524497779
17031020100,Census Tract 201; Cook County; Illinois,0.1822553498437124,11.0806645340749,0.0701256586947709,0.1822344322344322,0.472306143001007,0.281803457026099
17031020200,Census Tract 202; Cook County; Illinois,0.0499669530733641,11.700441838641288,0.0841178256908594,0.101311084624553,0.3072463768115942,-1.3709676315005195
17031020301,Census Tract 203.01; Cook County; Illinois,0.1455314009661835,11.269387861502633,0.0989317231769623,0.0678851174934725,0.5600706713780919,-0.09665313658461445
17031020302,Census Tract 203.02; Cook County; Illinois,0.1287590004235493,11.173950098130897,0.110050022737608,0.1201478743068391,0.615727002967359,0.2587879413707504
17031020400,Census Tract 204; Cook County; Illinois,0.1393423775580593,11.208978500052412,0.0655807972567509,0.0916370106761565,0.5099882491186839,-0.29284017469569373
17031020500,Census Tract 205; Cook County; Illinois,0.4532159144519578,10.54056690082639,0.071585557299843,0.4312,0.5630573248407643,2.9731111489140867
17031020601,Census Tract 206.01; Cook County; Illinois,0.3258337322482846,11.068620771070522,0.0837638376383763,0.2161269001982815,0.4172604908946952,1.0329744878842917
17031020602,Census Tract 206.02; Cook County; Illinois,0.1963241436925647,11.40381347688645,0.031060606060606,0.1523545706371191,0.5245901639344263,-0.2585556517709661
17031020701,Census Tract 207.01; Cook County; Illinois,0.0831447963800905,11.595131983761206,0.0443974630021141,0.0,0.358267716535433,-1.6181430104089463
